Fecha,toneladas,dia_semana,dias_desde_festivo,dias_hasta_festivo,mes,trimestre,isla,toneladas_lag_1,toneladas_lag_2,toneladas_lag_3,toneladas_lag_7,toneladas_media_7d,toneladas_media_14d,toneladas_media_30d,toneladas_max_7d,toneladas_min_7d
2024-05-08,0.0,2,7,22,5,2,TF,0.0,0.0,24.114024,24.074622,20.65245157142857,29.00007285714286,34.192566799999994,48.188646,0.0
2024-05-09,0.0,3,8,21,5,2,GC,24.153844,23.00521,23.036984,0.0,20.05512742857143,20.058947071428573,21.00563226666667,47.19,0.0
2024-05-09,0.0,3,8,21,5,2,TF,0.0,0.0,0.0,24.095546,17.213219857142857,25.63104285714286,33.3907361,48.188646,0.0
2024-05-10,46.051245,4,9,20,5,2,GC,0.0,24.153844,23.00521,0.0,20.05512742857143,18.33215207142857,21.00563226666667,47.19,0.0
2024-05-10,24.094323,4,9,20,5,2,TF,0.0,0.0,0.0,24.094323,13.770999000000002,22.262012857142857,32.5889054,48.188646,0.0
2024-05-11,0.0,5,10,19,5,2,GC,46.051245,0.0,24.153844,22.999854,26.63387671428572,21.621526714285714,21.7782959,47.19,0.0
2024-05-11,23.868,5,10,19,5,2,TF,24.094323,0.0,0.0,48.188646,13.770999,20.569989928571427,31.81587316666667,48.188646,0.0
2024-05-12,0.0,6,11,18,5,2,GC,0.0,46.051245,0.0,47.19,23.34818328571428,21.621526714285714,20.976975133333333,47.19,0.0
2024-05-12,23.991624,6,11,18,5,2,TF,23.868,24.094323,0.0,24.114024,10.296621,20.555231214285715,31.011841066666666,24.114024,0.0
2024-05-13,45.87074,0,12,17,5,2,GC,0.0,0.0,46.051245,23.036984,16.606754714285714,18.324218214285715,20.976975133333333,46.051245,0.0
2024-05-13,48.175416,0,12,17,5,2,TF,23.991624,23.868,24.094323,0.0,10.279135285714286,18.89488935714285,31.009074466666668,24.094323,0.0
2024-05-14,23.047564,1,13,16,5,2,GC,45.87074,0.0,0.0,23.00521,19.868719857142853,19.957597357142856,21.74121033333333,46.051245,0.0
2024-05-14,23.935333,1,13,16,5,2,TF,48.175416,23.991624,23.868,0.0,17.16133757142857,20.625103214285712,31.062981666666666,48.175416,0.0
2024-05-15,24.044373,2,14,15,5,2,GC,23.047564,45.87074,0.0,24.153844,19.874770428571427,19.88272471428571,21.741007133333333,46.051245,0.0
2024-05-15,24.115248,2,14,15,5,2,TF,23.935333,48.175416,23.991624,0.0,20.580670857142856,20.61656121428572,31.090375100000003,48.175416,0.0
